Text,Sentiment (POS/NEG/NEU)
Shan Food ki quality bohat zabardast ha ...bohat zabardast shan team,pos
ye bohat mazaydar ha,pos
"Shan food bohat achi company hain, mujay in k masaly bohat pasand hain",pos
bohat acha pakistani brand ha..zabardast quality,pos
Hamare ghar me yehi msale use hote hain meri ami ki or hum sb ki pasand shan,pos
bht km melta hai markt me eb q,neu
shan masale ke kya bat he khas tour per is ka namak who bhe hamalya namak,pos
Shan ke add bohat pàyere ha kase me chines larke ha shan se jeeo,pos
har product ki qeemat likhi honi chahiye ,neu
Behtareen product meray bachpan se..,pos
"Shan masalay zaiqay me bohat achay hain, me apne har khane me shan masala use karti hoon",pos
Pakistan ka sb se acha masala,pos
is me bohat ziada acid or artifical color ha jo k cancer ki waja banta ha..or is k packet k andar insects bhi hotay hain,neg
ziaqa bohat zabardast ha me hamesha shan masala he istimal karti hoon,pos
Shan masaly me bohat mirchay hain....agar ap isay salan me dalengay to believe me ap salan nahi kha saktay,neg
1 star denay ki waja bhi bata dain..,neu
zabardast shan masala ...sab shan products different hain or khane me umda...,pos
Pakistan k bhetreen masalay,pos
masalay ka ziaqa zabardast ha,pos
me 3 saal se ye shan masalay istimal kar rahi hoon or ye ziaqay me bohat achay hain ,pos
apki social media team responsive nai ha ..mujhay kuch masla tha masalay k hwale se me nay online bhi poucha per kisi ne koi jawab nai dia..,neg
meri pehli pasand shan foods..,pos
plz brost ki reciepe share karen...,neu
"bachpan se leker aaj tak mere ghar me sirf shan he use hota hy chahe woh koi b moqa ho eid ,baqra eid ,ramzan,milad,muharram,bbq party i justttt lovvee shan masale nihari,paaye,tandoori,pilao biryani ,sindhi biryani,bombay biryani ,bihari kabab,chiken tikka,qorma yeh sab kuch banta he nhi shan k baghair",pos
we Love you SHAN masala bari SHAN say,pos
Kia scene hai,neu
scene on hai,pos
Hahahaha haftay baad pata chalay asal main acquire kiya hua ho,neu
baji me is ki bat kar rahi thi,neu
Kahan kahan dastiyab hai,neu
Khoobsurat add MashAllah,pos
Outclass beshak orat se he gher me ronaq,pos
oh yeaaah biryani mujhay bohat pasand ha,pos
jab bhi me koi Shan advertisement dekhta hoon to  dil dukh jata hay bro,neu
thu thu kiya karo tum,neu
ussay kia hoga. Nazar thori utarni hay,neu
Muh mei pani agaya re baba,pos
Pakistan humariii jaan,pos
Loved the conversation haddi Mai kabab n all,pos
Shan masala hai tu khany me hai maza,pos
Cooking sauce kha say milay gi,neu
Stores pr bi available hay,neu
"Kis store pr agha,s pr nhi hay",neu
U ko bht pta h,neu
U pohanch gaye,neu
hr Khbar p h Nazar,neu
Chalo or kam asaan hogya,neu
Zindagi or b asan ab to flavour ki b tantion nai na saman mangwane ki koi parwa are waa shan ki kya bt ha,pos
Kc ne use b kia hai ya nhi,neu
Mery jeso k li thanks SHAN,pos
 Waqai tym sochny men hi lgta hy!,neu
Waqai tym sochny men hi lgta hy!,neg
ye dekho! Is m bhi shan agay,pos
main ye kha sakti hon swriously,neu
ye tou bana he lo plz plz,neu
Shan masala bht achy hoty hain. Main shan biryani masala se bnati hon biryani r bhi try kiy hoy hain.... Bht achy bnty hain khany,pos
Kafi asan hai ye Try karon gaa,pos
Mariam Khan ghee islye use krtay hen dm dete waqt rice dry nh hotay jbhi upper se ghee pour krtay hen agr hm teh dete waqt bottom m ghee dalden to lgnay ka khdsha rehta h,neu
Umme Ayman ary madam picture send kr rahi ho muj ko bna k khilao tu pta chaly ga ap k hath ka taste.,neu
Madiha Iqbal m to ap ko janti tak nah to biryani to dor ki bat hai,neu
Umme Ayman tu Kya hua dear agr ap muj ko nahi janti but biryani main apki zaror taste karni hai laim excuses ni chaly gay..,neu
yeh bnana phr MERI dawat krna,neu
ye khani haa,neu
 Behtreen Quality Masalas,pos
hamain to pta hi nhi tha participate krty,neu
Presenting Pakistan ka Qoumi salan...Aalo salan Aalo Salan,neu
rice ki quantity to btana me bhul gai sorry,neu
Jub 2 dil miltay hain to piyar ho jata hai na ,pos
similalry jub shan k2 masalay miltay hain to Biryani se bhi or ziada piyar hojata hai,pos
May har Khany may shan't product use karti hoo,pos
Shan Kay sary product ma use karti hon,pos
Imtyaz super market me shan msale short hy,neg
Yr is actress ny weight lost kaise kya,neu
Shan ky maslo ki to bat he or h .. yaammmiiii,pos
Shan ky masly both achy hain ... khana both achay bundty hain,pos
Humre pass ache Quality ka Salt hen 800 garm main.ache peaking or Quality Export Quality,neu
ye pink say white kiun hota ja raha hai,neu
Ye shadbagh me kahan se milay ga,neu
level hay boss marketing ka,pos
Pink salt Imtiaz super mn nahi milta,neg
Orijnal hy ya iodize salt ko hi pink clr dy diya hy,neu
"Saal ha Sal ke Aazmooda Masaleh, Hamaisha Khara Paya",pos
Khan sa la reha hin,neu
Unsy kuch b pakany ka kaho agy sy jawb ata h mujhy q keh rh ho khud bnao ja kr,neu
Shan tu shandar hi ha,pos
Me Shan k ilawa koi b masala us ni karti,pos
SB ko mere hath ka kana acha lagata ha,neu
Shan madale boht bohth acha hai,pos
Hmary ghr main shan recipes masaly hi use hoty hain,pos
Aitmad hy shan products pr,pos
shan walo ki ad ma larki? Khair to ha?,neu
Ab ati rahain gi,neu
Churiyan hon to sirf Hyderabad ki,pos
zabardast Kya baat hai Shan ki,pos
Aur Haleem bhi karachi ki R NEHARI BHI KARACHI KI HI ACHCHI HOTI HAI,pos
kab bhej raha hai phir,neu
Mein ne to bol dia,neu
ye larkii mujhyy terii tarhann lagtii h bilkul,neu
acha g ye to apka pyar h k m apko itni achi lgti hu,pos
Demagh py lag gaya ad,pos
Chooriyan sirf or sirf Hyderabad ki hon,neu
Mara kitchen. Shan ky bagyr adoh ra h,neu
Bachay to barhay ho jatay hain lekin aaj kal ke bacho ke liye zaroori hai ke unhain woh khaas ghazaiyat milay jis se woh seekhtay jaen aur agay barhtay jaen,pos
Kia shan masaloon main sumac ka Powder available hai plz bata dein,neu
Buhat achy hoty by shan masala speciall Bomby biryani aur tikka masala zabardast,pos
Bachpan m dekhty thy ammi pakati thi shan m Ab shadi hoagai to khud banaty hy,neu
MashaAllah bohat zaber 10 haleem banta hay,pos
Banay ka details method bata dy please,neu
Bana k kha b lia bht lazi tha haleem or shan k sare masale bht zabardsat hote hain,pos
Shan ka har masala he bhatreen hota h specially biryani ufff so yummy,pos
logon ko ad n Biryani se ziada Larkay main interest hai.. lolxx,neu
mujhy bhi asa mily,neu
urti chiriya k par gin leti hun m,neu
Magar phir bh acha h yr,pos
khooob dil lga k prhyngy,pos
Han Main to maths k period ka hi wait karti rahungi,neu
pink shirt waly ka name etc,neu
Aunty ap keh daiteen ..mein mamo k sath bhijwa daiti.,neu
